geography,mic_buffer,year,Estimate: American Indian and Alaska Native,Estimate: Asian,Estimate: Black or African American,Estimate: Native Hawaiian and Other Pacific Islander,Estimate: Other,Estimate: Hispanic or Latino,Estimate: white,Estimate: Total,Share: American Indian and Alaska Native,Share: Asian,Share: Black or African American,Share: Native Hawaiian and Other Pacific Islander,Share: Other,Share: Hispanic or Latino,Share: white
Ballard-Interbay,MIC Boundary,2021,2,118,4,0,76,77,693,968,0.002066115702479339,0.12190082644628099,0.004132231404958678,0,0.07851239669421488,0.07954545454545454,0.7159090909090909
Duwamish,MIC Boundary,2021,15,198,90,1,77,147,622,1155,0.012987012987012988,0.17142857142857143,0.07792207792207792,8.658008658008658e-4,0.06666666666666667,0.12727272727272726,0.5385281385281385
Kent MIC,MIC Boundary,2021,0,6,0,0,97,195,77,377,0,0.015915119363395226,0,0,0.2572944297082228,0.5172413793103449,0.20424403183023873
North Tukwila,MIC Boundary,2021,0,5,5,3,2,8,13,35,0,0.14285714285714285,0.14285714285714285,0.08571428571428572,0.05714285714285714,0.22857142857142856,0.37142857142857144
Sumner Pacific,MIC Boundary,2021,0,4,1,0,1,11,58,76,0,0.05263157894736842,0.013157894736842105,0,0.013157894736842105,0.14473684210526316,0.7631578947368421
Puget Sound Industrial Center- Bremerton,MIC Boundary,2021,0,12,0,2,18,10,85,125,0,0.096,0,0.016,0.144,0.08,0.68
Frederickson,MIC Boundary,2021,1,15,26,12,73,91,352,572,0.0017482517482517483,0.026223776223776224,0.045454545454545456,0.02097902097902098,0.12762237762237763,0.1590909090909091,0.6153846153846154
Port of Tacoma,MIC Boundary,2021,5,131,75,11,24,237,391,874,0.005720823798627002,0.14988558352402745,0.08581235697940504,0.012585812356979404,0.02745995423340961,0.2711670480549199,0.4473684210526316
Cascade,MIC Boundary,2021,1,30,26,0,118,244,503,925,0.001081081081081081,0.032432432432432434,0.02810810810810811,0,0.12756756756756757,0.2637837837837838,0.5437837837837838
Paine Field / Boeing Everett,MIC Boundary,2021,0,353,18,0,62,168,622,1222,0,0.2888707037643208,0.014729950900163666,0,0.05073649754500818,0.13747954173486088,0.5090016366612111
All MICs,MIC Boundary,2021,24,872,245,29,548,1188,3416,6329,0.0037920682572286303,0.13777848001264023,0.038710696792542264,0.004582082477484595,0.08658555854005372,0.1877073787328172,0.539737715278875
Ballard-Interbay,1/4 mile buffer,2021,177,6112,651,30,2834,2869,27527,40198,0.004403204139509428,0.15204736554057416,0.016194835563958405,7.463057863575303e-4,0.07050101995124136,0.07137171003532514,0.6847853127021245
Duwamish,1/4 mile buffer,2021,131,6700,2269,98,1653,3183,10654,24684,0.005307081510290066,0.2714308864041484,0.09192189272403176,0.003970183114568141,0.06696645600388916,0.12894992707826933,0.43161562145519367
Kent MIC,1/4 mile buffer,2021,39,2569,2155,396,1380,2372,4875,13789,0.002828341431575894,0.18630792660816592,0.15628399448836028,0.028718543766770615,0.10007977373268548,0.17202117629994923,0.3535426789469867
